OID_,ID,ST_ABBREV,CNTY_NAME,REGION,ACSTOTPOP,ACSIPOVBAS,ACSEDUCBAS,PEOPCOLOR,PEOPCOLORPCT,LOWINCOME,LOWINCPCT,LESSHS,LESSHSPCT,UNDER5,UNDER5PCT,OVER64,OVER64PCT,LIFEEXPPCT,PM25,OZONE,DSLPM,RSEI_AIR,PTRAF,PNPL,PRMP,PTSDF,UST,PWDIS,NO2,DWATER,D2_PM25,D5_PM25,D2_OZONE,D5_OZONE,D2_DSLPM,D5_DSLPM,D2_RSEI_AIR,D5_RSEI_AIR,D2_PTRAF,D5_PTRAF,D2_LDPNT,D5_LDPNT,D2_PNPL,D5_PNPL,D2_PRMP,D5_PRMP,D2_PTSDF,D5_PTSDF,D2_UST,D5_UST,D2_PWDIS,D5_PWDIS,D2_NO2,D5_NO2,D2_DWATER,D5_DWATER,AREALAND,AREAWATER,NPL_CNT,TSDF_CNT,EXCEED_COUNT_80,EXCEED_COUNT_80_SUP,Shape_Length,Shape_Area
7861,06037702802,CA,Los Angeles County,9,2293,2240,1769,1293,0.5638901,507,0.226339286,136,0.076879593,138,0.060183166,345,0.150457915,0.153846154,12.156325136612001,75.073279999999983,0.490211358,1042.425668205882403,10162332.862925723195076,0,0.542034047,19.219555334021884,0,379.050787075230232,12.563629795523250,0,91.612413456411701,45.779394303136066,93.374190638265773,46.659767270504069,153.274614821304169,76.592448161016108,133.895065820909394,66.908345519968094,165.607055094282686,82.755058932592121,149.751060457596054,74.831702226280115,0,0,98.659522183827974,49.300886172608074,139.180397366471624,69.549464422072106,0,0,79.279973183433199,39.616783531560060,158.559946366866399,79.233567063120120,0,0,610045.000000000000000,0,0,0,0,0,0.046158101,5.95346E-05
7862,06037702803,CA,Los Angeles County,9,2749,2664,2147,1680,0.61113132,919,0.34496997,357,0.166278528,148,0.053837759,453,0.164787195,0.2,11.973931147541000,74.167069999999981,0.482373578,1023.517550527796402,5643193.711016427725554,0,0.62578854,16.207869814671927,0,344.312991922840865,11.048566827179998,0,109.907311957382987,80.970621598107144,109.907311957382987,80.970621598107144,189.040576566698746,139.269469148744292,167.059114175222135,123.075344829122855,158.266529218631518,116.597695101274283,169.257260414369796,124.694757261085002,0,0,129.690628109711923,95.545333485766420,156.068382979483857,114.978282669312136,0,0,98.916580761644695,72.873559438296425,162.662821696926841,119.836519965198562,0,0,847101.000000000000000,224.000000000000000,0,0,0,1,0.084706794,8.26814E-05
7863,06037702900,CA,Los Angeles County,9,10274,10274,7847,3208,0.312244501,1298,0.12633833,32,0.004077992,934,0.090909091,843,0.082051781,0.16,11.814683333333299,72.798140000000004,0.397915817,1065.992209499956061,3687651.282539320643991,0,0.62322271,12.107614995441956,0,261.656096425209455,9.272410146816734,0,45.988140421160232,37.975668916015955,45.009669348369584,37.167675960356043,71.428388313716951,58.983485763173718,74.363801532088885,61.407464630153456,52.837437930694733,43.631619605635350,19.569421455812865,16.159859113198280,0,0,57.729793294647948,47.671584383934920,60.665206513019875,50.095563250914665,0,0,42.074256129997657,34.743697093376298,50.880495785113446,42.015633694315525,0,0,2209653.000000000000000,1546421.000000000000000,0,0,0,0,0.079742973,0.000366442
7864,06037703002,CA,Los Angeles County,9,6903,6835,5317,5905,0.855425177,733,0.107242136,267,0.050216287,246,0.03563668,1648,0.238736781,0.139487179,12.713083606557401,74.636650000000003,0.55434555,1316.926995894454649,6576357.081418774090707,0,1.747097959469133,20.299863362928729,0,207.168161164074803,11.731406475159371,0,117.322890189351853,36.293558096045246,101.414701689100752,31.372397676242500,186.921214877950405,57.823634932682253,159.081885002510973,49.211604198027452,157.093361439979589,48.596459145552110,143.173696502259872,44.290443778224706,0,0,167.035979252636537,51.672184407928825,163.058932127573769,50.441894302978135,0,0,83.517989626318268,25.836092203964412,161.070408565042356,49.826749250502793,0,0,3276721.000000000000000,0,0,1,0,0,0.083866003,0.00031971
7865,06037703003,CA,Los Angeles County,9,6127,6127,5025,3892,0.635221152,463,0.075567162,100,0.019900498,349,0.056960992,833,0.135955606,0.143589744,12.541909289617500,74.098669999999998,0.560435857,1258.361464378996288,7375595.254380289465189,0,1.166848285797803,21.580867998387969,0,281.577503130324203,11.456221692823153,0,83.496367134171280,40.578320487097052,73.242427310676561,35.595017971137764,139.160611890285452,67.630534145161761,117.187883697082498,56.952028753820429,123.047277881936623,59.799630191511447,58.593941848541249,28.476014376910214,0,0,108.398792419801310,52.680626597283890,123.047277881936623,59.799630191511447,0,0,64.453336033395374,31.323615814601233,114.258186604655435,55.528228034974916,0,0,2015004.000000000000000,5792.000000000000000,0,2,0,0,0.077004018,0.000197165
7866,06037703100,CA,Los Angeles County,9,6444,6436,5145,5885,0.913252638,1187,0.184431324,165,0.032069971,350,0.054314091,1617,0.250931099,0.191794872,12.888423770491800,75.569100000000006,0.481130386,1359.069669533191018,6064169.927508953958750,0,1.724815724199771,19.310577537241400,0,145.076050557110477,11.178491460192902,0,141.860795275178617,73.963570030060524,125.581687620649916,65.475947239725713,200.000465469923938,104.276508566970577,188.372531430974874,98.213920859588569,174.419010584235991,90.938815610730146,227.907507163401704,118.826719064687396,0,0,193.023705046554483,100.638955942541372,183.721357815395237,95.788885776635752,0,0,93.023472311592528,48.500701659056077,174.419010584235991,90.938815610730146,0,0,2662193.000000000000000,1987.000000000000000,0,1,4,0,0.080156705,0.000259961
7867,06037703200,CA,Los Angeles County,9,5555,5503,4297,4973,0.895229523,1230,0.223514447,224,0.052129393,172,0.030963096,1238,0.222862286,0.17025641,13.002973224043700,76.458190000000002,0.480453616,1359.578800073448292,6232918.611914984881878,0,1.002006750382985,18.107300583890961,0,120.428187122558754,11.342929297973370,0,151.418809055051213,76.239072785909826,134.594496937823294,67.768064698586514,206.698691725942922,104.072385072829277,194.681325927922984,98.021665010455493,182.663960129903046,91.970944948081694,237.943842800794755,119.804257235001145,0,0,168.243121172279103,84.710080873233139,182.663960129903046,91.970944948081694,0,0,93.735453224555499,47.195616486515604,185.067433289507022,93.181088960556451,0,0,2106454.000000000000000,0,0,0,4,0,0.068195399,0.000205554
7868,06037800101,CA,Los Angeles County,9,5734,5734,4050,1125,0.196198116,603,0.10516219,26,0.006419753,229,0.039937217,1168,0.203697245,0.166153846,9.617305218579228,79.552340000000001,0.181094034,274.357688496932042,1883844.863702934700996,0,0.210884549,4.252813950501599,0,1709.853904414876297,5.017978662988233,0,10.342599485967108,12.131490318453558,42.749411208664043,50.143493316274707,19.995692339536408,23.454214615676879,35.164838252288163,41.247067082742099,22.753718869127638,26.689278700597828,18.616679074740794,21.836682573216404,0,0,24.132732133923252,28.306810743058303,19.995692339536408,23.454214615676879,0,0,39.991384679072816,46.908429231353757,4.137039794386843,4.852596127381423,0,0,8096201.000000000000000,0,0,0,0,0,0.171731217,0.000791291
7869,06037800103,CA,Los Angeles County,9,3416,3416,2668,1475,0.431791569,484,0.141686183,185,0.06934033,60,0.017564403,564,0.165105386,0.153846154,9.894577049180333,79.664019999999979,0.179230721,356.691839299576259,1836362.097187640378252,0,0.264593712,3.582628593726208,0,1977.930341122148775,4.116958369643001,0,22.633474268368474,13.934634674446933,77.959744702158076,47.997074989761657,36.465041876815874,22.450244753275616,69.157838042237003,42.578050394143403,41.494702825342202,25.546830236486045,55.326270433789603,34.062440315314724,0,0,50.296609485263275,30.965854832104295,30.177965691157965,18.579512899262578,0,0,75.444914227894913,46.448782248156441,3.772245711394746,2.322439112407822,0,0,18475116.000000000000000,0,0,0,0,0,0.253522181,0.001805369
7870,06037800104,CA,Los Angeles County,9,3665,3665,2642,1016,0.277216917,411,0.112141883,3,0.001135503,246,0.067121419,796,0.217189632,0.153846154,9.695437267759560,77.344840000000005,0.147234461,350.185111199999994,1372908.656783032231033,0,0.330114626,2.225734379392098,0,1873.259960292795995,3.796543836593628,0,13.898195221822917,11.385812989151813,50.380957679108072,41.273572085675319,18.241381228642577,14.943879548261753,47.775046075016277,39.138732150209357,22.584567235462238,18.501946107371694,58.198692491383461,47.678091892073212,0,0,39.088674061376956,32.022599031989472,13.029558020458985,10.674199677329824,0,0,52.118232081835941,42.696798709319296,1.737274402727865,1.423226623643977,0,0,34221882.000000000000000,14552.000000000000000,0,0,0,0,0.46917275,0.003344516
