Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,PCT_SE_A14001_002,PCT_SE_A14001_003,PCT_SE_A14001_004,PCT_SE_A14001_005,PCT_SE_A14001_006,PCT_SE_A14001_007,PCT_SE_A14001_008,PCT_SE_A14001_009,PCT_SE_A14001_010,PCT_SE_A14001_011,PCT_SE_A14001_012,PCT_SE_A14001_013,PCT_SE_A14001_014,PCT_SE_A14001_015,PCT_SE_A14001_016,PCT_SE_A14001_017
"06037197410","Census Tract 1974.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"197410",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037197410","Census Tract 1974.10",,,,1701,19,30,17,88,60,17,22,50,13,201,72,284,189,62,137,440,1.12,1.76,1,5.17,3.53,1,1.29,2.94,0.76,11.82,4.23,16.7,11.11,3.64,8.05,25.87
"06037197420","Census Tract 1974.20, Los Angeles County, California","ca","140","00",,,,"06","037",,,"197420",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037197420","Census Tract 1974.20",,,,1610,26,29,33,173,42,74,33,18,62,50,102,160,104,228,160,316,1.61,1.8,2.05,10.75,2.61,4.6,2.05,1.12,3.85,3.11,6.34,9.94,6.46,14.16,9.94,19.63
"06037197500","Census Tract 1975, Los Angeles County, California","ca","140","00",,,,"06","037",,,"197500",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037197500","Census Tract 1975",,,,1800,101,36,45,36,20,101,99,45,8,88,243,291,199,100,123,265,5.61,2,2.5,2,1.11,5.61,5.5,2.5,0.44,4.89,13.5,16.17,11.06,5.56,6.83,14.72
"06037197600","Census Tract 1976, Los Angeles County, California","ca","140","00",,,,"06","037",,,"197600",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037197600","Census Tract 1976",,,,900,45,33,42,42,0,0,33,28,78,46,36,115,123,83,95,101,5,3.67,4.67,4.67,0,0,3.67,3.11,8.67,5.11,4,12.78,13.67,9.22,10.56,11.22
"06037197700","Census Tract 1977, Los Angeles County, California","ca","140","00",,,,"06","037",,,"197700",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037197700","Census Tract 1977",,,,2191,55,152,74,73,51,146,110,153,60,201,174,305,200,80,95,262,2.51,6.94,3.38,3.33,2.33,6.66,5.02,6.98,2.74,9.17,7.94,13.92,9.13,3.65,4.34,11.96
"06037199001","Census Tract 1990.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"199001",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037199001","Census Tract 1990.01",,,,699,55,77,28,27,51,16,53,8,23,75,113,114,16,25,6,12,7.87,11.02,4.01,3.86,7.3,2.29,7.58,1.14,3.29,10.73,16.17,16.31,2.29,3.58,0.86,1.72
"06037199002","Census Tract 1990.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"199002",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037199002","Census Tract 1990.02",,,,1136,57,7,60,31,67,38,139,22,21,96,104,136,98,156,28,76,5.02,0.62,5.28,2.73,5.9,3.35,12.24,1.94,1.85,8.45,9.15,11.97,8.63,13.73,2.46,6.69
"06037199110","Census Tract 1991.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"199110",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037199110","Census Tract 1991.10",,,,782,36,9,28,17,0,58,70,11,14,77,74,79,127,74,41,67,4.6,1.15,3.58,2.17,0,7.42,8.95,1.41,1.79,9.85,9.46,10.1,16.24,9.46,5.24,8.57
"06037199120","Census Tract 1991.20, Los Angeles County, California","ca","140","00",,,,"06","037",,,"199120",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037199120","Census Tract 1991.20",,,,1103,59,162,69,25,19,57,105,84,25,94,42,131,68,81,61,21,5.35,14.69,6.26,2.27,1.72,5.17,9.52,7.62,2.27,8.52,3.81,11.88,6.17,7.34,5.53,1.9
"06037199201","Census Tract 1992.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"199201",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037199201","Census Tract 1992.01",,,,1190,63,102,31,99,29,46,68,0,70,47,93,96,126,81,67,172,5.29,8.57,2.61,8.32,2.44,3.87,5.71,0,5.88,3.95,7.82,8.07,10.59,6.81,5.63,14.45
